1018261, Caledonia Farmers Market Association - Danville,,Danville,Caledonia,Vermont,05828,-72.140337,44.411036,,8/3/2020 3:23:12 PM
1009994,18th Street Farmer's Market,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,-103.662538,41.864268,,2/18/2021 2:37:26 PM
1000709,26th Annual Highlands Business Partnership's Farmers Market,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,07732,-73.994358,40.404837,,9/10/2020 3:25:18 PM
1019956,29 Palms Farmers' Market,73484 Twentynine Palms Hwy,Twentynine Palms,San Bernardino,California,92277,-116.058946,34.135760,,1/13/2021 5:15:12 PM
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,-84.181030,39.762593,,7/26/2018 4:26:56 PM
1004950,3 French Hens French Country Market,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,-88.425186,41.356383,,7/26/2018 4:22:44 PM
1019938,3rd Day Farmer's Market,3234 S. LaChance Rd,Lake City,Missaukee,Michigan,49651,-85.296147,44.292952,,6/25/2020 11:53:13 AM
1021607,4 Veggies & 3 Fruits Farmer’s Market,140 W 62nd Street,Chicago ,Cook,Illinois,60621,-87.629595,41.781896,,8/24/2021 6:09:09 AM
1018965,61st Street Farmers Market,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,-87.5905914,41.7840790,,2/23/2018 4:18:31 PM
1009004,A Growers' Market,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,-84.279874,30.461953,,7/29/2018 12:47:57 PM
1019473,Aberdeen Sunday Market,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,98520,-123.816413,46.972973,,4/14/2019 8:55:10 PM
1010487,Abingdon Farmers Market,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,24212,-81.977160,36.708863,,1/27/2021 9:20:08 PM
